sku,name,category,function,relatives,designer,image,gridorder,neworder
CHC1530,Crystal Cube Large Chandelier,Ceiling > Chandelier,Chandelier,Crystal Cube,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1530abnp_5.png,1357.0000,,
CHC1534,Crystal Cube Basket Chandelier,Ceiling > Chandelier,Chandelier,Crystal Cube,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1534abnp_5.png,1359.0000,,
CHC1561,Mykonos Small Chandelier,Ceiling > Chandelier,Chandelier,Mykonos,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1561ab_5.png,1477.0000,,
CHC1562,Mykonos Large Chandelier,Ceiling > Chandelier,Chandelier,Mykonos,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc1562ab_5.png,1479.0000,,
CHC2107,Scroll Large Lantern,Ceiling > Lantern,,Scroll Pendant,E. F. Chapman,,1773.0000,,
CHC2110,Country Large Bell Jar Lantern,Ceiling > Lantern,Lantern,Country Bell Jar,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc2110pn_9.png,2210.0000,,
CHC2111,Crown Top Banded Globe Lantern,Ceiling > Lantern,Lantern,Crown Top Globe,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc2111bzabcg_5.png,2193.0000,,
CHC2112,Zodiac Lantern,Ceiling > Lantern,Lantern,ZODIAC,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc2112abwg_5.png,2187.0000,,
CHC2114,Amphora Small Bell Jar Lantern,Ceiling > Lantern,,Amphora,E. F. Chapman,,2046.0000,,
CHC2117,Country Medium Bell Jar Lantern,Ceiling > Lantern,Lantern,Country Bell Jar,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc2117bz_5.png,2214.0000,,
CHC2149,Fluted Band Medium Chandelier,Ceiling > Chandelier,Chandelier,Fluted Band,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc2149alb_5.png,1802.0000,,
CHC2209,Sussex Semi-Flush Bell Jar Lantern,Ceiling > Flush Mount,Flush Mount,sussex4,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc2209bz_5.png,5940.0000,,
CHC2461,Ruhlmann Small Chandelier,Ceiling > Chandelier,Chandelier,Ruhlmann,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc2461pnnp_9.png,1483.0000,,
CHC2462,Ruhlmann Large Chandelier,Ceiling > Chandelier,Chandelier,Ruhlmann,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc2462pnnp_6.png,1487.0000,,
CHC3108,Diego Grande Classical Perching Bird Lantern,Ceiling > Lantern,Lantern,Diego,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3108gi_5.png,1970.0000,,
CHC3109,Diego Petite Classical Perching Bird Lantern,Ceiling > Lantern,Lantern,Diego,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3109gi_5.png,1968.0000,,
CHC3413,French Market Small Lantern,Ceiling > Lantern,Lantern,French Market,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3413gi_9.png,1954.0000,,
CHC3414,French Market Medium Lantern,Ceiling > Lantern,Lantern,French Market,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3414gi_10.png,1956.0000,,
CHC3420,Arch Top Mini Lantern,Ceiling > Lantern,Lantern,ARCHTOP,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3420ab_5.png,2012.0000,,
CHC3421,Arch Top Small Lantern,Ceiling > Lantern,Lantern,ARCHTOP,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3421bz_8.png,2017.0000,,
CHC3422,Arch Top Medium Lantern,Ceiling > Lantern,Lantern,ARCHTOP,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3422pn_8.png,2020.0000,,
CHC3423,Edwardian Arch Top Medium Lantern,Ceiling > Lantern,Lantern,ARCHTOP3,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3423pn_9.png,2036.0000,,
CHC3425,Arch Top Large Lantern,Ceiling > Lantern,Lantern,ARCHTOP,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3425ab_5.png,2024.0000,,
CHC3426,Edwardian Arch Top Mini Lantern,Ceiling > Lantern,Lantern,ARCHTOP3,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3426pn_9.png,2027.0000,,
CHC3427,Edwardian Arch Top Small Lantern,Ceiling > Lantern,Lantern,ARCHTOP3,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3427pn_5.png,2032.0000,,
CHC3428,Edwardian Arch Top Large Lantern,Ceiling > Lantern,Lantern,ARCHTOP3,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3428ab_5.png,2039.0000,,
CHC3441,Arch Top Large Tapered Lantern,Ceiling > Lantern,Lantern,TAPERED,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc3441bz_9.png,2008.0000,,
CHC4125,Club Small Hexagonal Flush Mount,Ceiling > Flush Mount,Flush Mount,Club Flush Mounts1,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc4125abcg_5.png,3450.0000,,
CHC4126,Club Large Hexagonal Flush Mount,Ceiling > Flush Mount,Flush Mount,Club Flush Mounts1,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc4126abfg_5.png,3458.0000,,
CHC4128,Club Small Square Flush Mount,Ceiling > Flush Mount,Flush Mount,Club Flush Mounts,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc4128pncg_5.png,3428.0000,,
CHC4129,Club Large Square Flush Mount,Ceiling > Flush Mount,Flush Mount,Club Flush Mounts,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc4129bzcg_5.png,3427.0000,,
CHC4132,Edwardian Open Bottom Flush Mount,Ceiling > Flush Mount,Flush Mount,Edwardian Flush Mount,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc4132abwg_5.png,3398.0000,,
CHC4140,Cornice Hexagonal Flush Mount,Ceiling > Flush Mount,Flush Mount,Cornice Hex,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc4140pn_5.png,3481.0000,,
CHC4201,Crown Small Flush Mount,Ceiling > Flush Mount,Flush Mount,Crown Flush Mount,E. F. Chapman,https://www.circalighting.com/media/catalog/product/c/h/chc4201ab_5.png,3354.0000,,
